标题,来源,时间,问题,回答
北大医学部只召理科生吗,cj*** (云南),2015-03-06 15:08,北大医学部只自主召生只召理科生吗,"
                                    是的，考生须是参加2015年全国普通高等学校统一招生考试的理科考生"
北京考生562能报你校吗？,13***28 (北京),2018-06-26 17:00,北京考生562能报你校吗？,"
                                医学部2017年最低录取线655，护理学提前批592分，562分录取可能性不大"
录取问题,64***qq.com (北京),2018-06-26 13:59,北京理科577分，医学检验技术有希望录取吗？,"
                                北京没有医学检验技术计划"
北京理科生,10***3@qq.com (北京),2018-06-25 10:28,您好，479分北京理科生贵校有希望录取吗？,"
                                没有希望"
是否设置专业极差？,13***92 (北京),2018-06-24 14:46,例如我将临床医学（五年）作为专业2，是否会先录取分低但是将其作为专业1的同学？,"
                                录取时各专业之间会设置级差，如果第一专业志愿未录，将在实考分基础上减去级差分数（以往一般为1或2或0），再与其他考生比较，优先录取分数高者。"
专业调剂是否会调剂到护理学？,13***92 (北京),2018-06-24 14:44,专业调剂是否会调剂到护理学？,"
                                不会。护理学在提前批次录取。"
内蒙古排名多少可在贵校拥有较多选择空间？,13***16 (内蒙古),2018-06-23 15:57,感谢您的答复,"
                                请与内蒙招生咨询老师联系：18101207620"
专业录取咨询,18***76 (北京),2018-06-23 09:26,有北大博雅线上加分，报北医同样适用吗,"
                                不适用。"
请问在内蒙有少数民族预科班计划吗,du***4 (内蒙古),2017-06-26 11:16,是否有少数民族预科班计划，需要一本线上多少分，谢谢,"
                                少数民族预科班计划4人，具体以内蒙古高招办公布的信息为准。"
608分河北女孩,lf*** (河北),2016-06-23 15:58,河北608分能上此学校吗,"
                                您好！请具体咨询北医负责河北宣传的刘老师，18731039966 15081090288"
报考,by*** (甘肃),2016-06-23 15:52,甘肃考生，贫困专项，理工584能否报考贵校,"
                                您好！请具体咨询医学部负责甘肃招生宣传的陈老师：18511621349"
北医二本在山东招生吗,ls***ogl (山东),2016-06-22 10:22,老师您好！北医二本在山东招生吗？过一本线30分左右能上贵校吗？贵校有哪些专业？,"
                                考生你好！北医在山东无本科二批次计划，一批次招生专业包括：基础医学、临床医学、口腔医学、预防医学、药学、英语（生物医学英语），具体可咨询北医山东咨询老师电话15010091838."
什么条件能上本校,ll*** (北京),2016-06-13 13:40,老师您好：2016年本校第二批录取是在一本分数线上吗？ 一模考试和二模考试都是刚好上一本分数线，这 样能上这个学校吗？,"
                                2015年北医二本提档线563，高出一本线15分，供参考。"
少数民族预科,qi***84 (云南),2016-06-13 11:34,云南考生想了解贵校2016年在云南是否有招收少数民预科班的计划？如果有与2015年相比有什么变更？另录取民族预科省排名会在多少名次？谢谢！,"
                                北医在云南无少数民族预科班计划。"
云南录取,qi***84 (云南),2016-06-13 11:04,请问贵校2015年在云南的录取省排名是多少名次？谢谢！,"
                                考生你好！暂未统计云南省录取排名，关于今年招生情况，请咨询北医在云南招生宣传的老师18801395093 王老师。"
