标题,来源,时间,问题,回答
山东理科,ai*** (山东),2016-06-27 12:00,老师您好，在威海校区是否有二本专业，515分报考的话希望大吗,"
                                    无二本专业。"
陕西理科,jo*** (陕西),2016-06-26 16:17,你好老师，我是陕西理科考生，位次7600左右，超一本线121分，可以报考贵校哪些专业？,"
                                    可以选一些分数相对较低的专业报考，如果专业不喜欢，大一下半学期有转专业机会。"
退档问题,sh***ilin (辽宁),2016-06-14 10:33,你好，考生左右眼视力均为4.8，无其他方面问题，专业服从调剂，有退档可能吗？,"
                                    无"
老师您好：如果志愿服从调剂，体检合格，进档后，是否一定不会被,qi***6 (山东),2016-06-13 16:42,老师您好：如果志愿服从调剂，体检合格，进档后，是否一定不会被退档？谢谢。（注：我是山东考生，山东省实行平行志愿）,"
                                    是"
威海校区毕业证,li*** (内蒙古),2016-06-12 16:27,老师，您好！威海校区的毕业证和本部的一样吗？,"
                                    一样"
录取问题,75*** (北京),2017-06-28 16:56,北京考生612分，有希望进贵校吗,"
                                可以报考"
综合评价考生,wz*** (山东),2017-06-28 16:53,综合评价已进入合格名单，官网上公布的名单是按照名次排的吗？我高考分数为596，位次18844，今日填报了提前批志愿，有希望吗？,"
                                是按照名次排序的，你这个分数有希望"
我是山西理科考生，高考成绩542,15***44 (山西),2017-06-28 16:38,您好，请问我报考贵校能否被录取？,"
                                冲击稍有困难"
第一志愿与后几个志愿之间分数差,qi*** (山东),2017-06-28 16:08,请问第一志愿如果不被录取 报考第二志愿时分数会被降几分 后边几个志愿又是怎么降分的呢？谢谢,"
                                专业无极差"
北京理科男生,ya***en (北京),2017-06-28 14:39,今年高考603分，请问报考贵校把握大吗？,"
                                把握不是很大"
专业咨询,39*** (山东),2017-06-28 14:38,老师您好，我的成绩在山东省10800，我想咨询一下我在贵校我能否选择到电气工程与自动化专业或者计算机科学。哈工大威海分校的毕业证和本校是一样的吗？,"
                                报考把握很大，威海校区和哈尔滨校区毕业证相同，没有任何差别"
招生、录取,lw*** (广东),2017-06-28 13:01,1、威海校区在广东今年有招生吗？ 2、广东理科553分，排17823名能录取机会大吗？,"
                                有招生。机会不是很大"
