标题,来源,时间,问题,回答
可以在这咨询清华美院的事吗,am***88 (北京),2016-06-24 09:55,可以咨询清华美院吗,"
                                    清华美院报考咨询电话：010-62798170，62798171~"
调剂问题,bj*** (北京),2015-06-11 15:45,北京考生：1服从调剂会调到与所报专业相差很大的专业吗？如报基础学科专业，却被调到政法专业或经济专业？2.被调剂的考生在入学后能否转专业？其他转专业时间如何规定的？转专业影响毕业时时吗？,"
                                    调剂考生以各专业录取情况为准，未完成录取计划的专业都可能被调剂。学生入校后无转专业限制，大一至大四均可转专业。"
报名咨询 限制几个学校,yx***7 (天津),2015-03-06 11:59,老师您好！如何理解贵校类型1条件，是否竞赛一等奖的优先？我理解贵校未将“国一等奖”作为唯一入门条件，为平时品学兼优，不走竞赛之路的孩子留有竞争机会，不知这样理解是否准确。我孩子在天津耀华中学理科实验班，获全国高中数学联赛市级赛区二等奖、全国生物联赛市级赛区二等奖（以上奖项未经任何培训班辅导），且在高一、高二阶段学习综合排名理科班年级第一（理科班500多人左右）；高三阶段学校记入档案的5次大考综合排名年级4%；高一曾参加港大组织的联合国大会活动、高二参加清华暑假学校；荣获市级三好学生、市级文明学生、连续两年的校级优秀团员；积极参加社团和社会实践活动。请问我们符合申报条件吗？通过的几率多少？ 此外，贵校限制报几个学校？ 期待您的回复。 谢谢！,"
                                    具有各类特长及创新潜质的优秀高中毕业生均可申请我校自主招生，考生最多可同时申请包含清华在内的五所高校。"
自主招生考试的地点,ch*** (新疆),2015-03-06 11:54,请问下清华的自主招生考试面试笔试的地点，新疆的考生都要来清华园吗？,"
                                    清华大学自主招生目前处于报名阶段，初审结果公布后可查询后续笔试面试具体安排。自主招生简章详见清华大学本科招生网http://join-tsinghua.edu.cn/publish/bzw/index.html"
关于体质测试,er*** (吉林),2015-03-06 11:50,免体的学生怎么办,"
                                    清华大学自主招生目前处在报名阶段，4月份初审结果公布后将通知后续笔试复试安排，包括体质测试相关细节，请关注后续。"
咨询,25***@qq.com (河北),2018-06-26 11:32,您好，请问女生报考软件工程的前景？,"
                                您可以看看基本的介绍，也可以直接拨打页面下端的电话具体咨询：http://join-tsinghua.edu.cn/publish/bzw/7529/2012/20120412212548185945197/20120412212548185945197_.html"
国家专项计划,13***49 (贵州),2018-06-26 11:08,请问国家专项进入的学生能转专业吗？如果服从调剂是否是提档就不退档？,"
                                请结合自己的具体情况咨询我校老师http://join-tsinghua.edu.cn/publish/bzw/7527/2018/20180608144402693537272/20180608144402693537272_.html"
录取分数线,13***90 (山东),2018-06-23 16:20,请问今年预计清华大学在山东的录取分数线是多少呢？谢谢,"
                                请结合自己的具体情况咨询我校老师http://join-tsinghua.edu.cn/publish/bzw/7527/2018/20180608144402693537272/20180608144402693537272_.html"
全国性加分和自主招生降分可以一起使用么？,18***06 (北京),2018-06-23 12:13,全国性加分和自主招生降分可以一起使用么？,"
                                请结合自己的具体认定情况咨询我校老师http://join-tsinghua.edu.cn/publish/bzw/7527/2018/20180608144402693537272/20180608144402693537272_.html"
请问清华今年在京的计划招生人数是多少人？,13***60 (北京),2018-06-23 11:27,如题,"
                                请结合自己的文理具体情况咨询我校老师http://join-tsinghua.edu.cn/publish/bzw/7527/2018/20180608144402693537272/20180608144402693537272_.html"
转专业,18***68 (天津),2018-06-22 12:49,如果被调剂的话转专业的难度大吗，各大学院大概都有什么样的限制呢，,"
                                请结合自己的具体情况咨询我校老师http://join-tsinghua.edu.cn/publish/bzw/7527/2018/20180608144402693537272/20180608144402693537272_.html"
转专业,18***68 (天津),2018-06-22 12:48,如果被调剂的话转专业的难度大吗，各大学院大概都有什么样的限制呢，,"
                                请结合自己的具体情况咨询我校老师http://join-tsinghua.edu.cn/publish/bzw/7527/2018/20180608144402693537272/20180608144402693537272_.html"
定向生的问题,18***63 (贵州),2018-06-22 10:20,请问，定向生毕业后是到定向单位工作吗？,"
                                是的，请结合自己的具体情况咨询我校老师http://join-tsinghua.edu.cn/publish/bzw/7527/2018/20180608144402693537272/20180608144402693537272_.html"
录取规则,hl*** (四川),2016-06-26 10:42,请问贵校2016年在四川理科提前批定向就业（非国防生）招生投档比列是多少？在投档和专业录取时是否都认可少数民族考生加分20分？投档后若服从专业调剂和定向调配，是否投档不退档、进档就录取?,"
                                请结合自己的成绩和志愿意向等，具体咨询清华大学招生咨询组老师http://join-tsinghua.edu.cn/publish/bzw/7527/2016/20160622083049387866914/20160622083049387866914_.html"
录取规则,hl*** (四川),2016-06-25 13:49,请问贵校2016年在四川理科提前批定向就业（非国防生）招生投档比列是多少？在投档和专业录取时是否都认可少数民族考生加分20分？投档后若服从专业调剂和定向调配，是否投档不退档、进档就录取?,"
                                请结合自己的成绩和志愿意向等，具体咨询清华大学招生咨询组老师http://join-tsinghua.edu.cn/publish/bzw/7527/2016/20160622083049387866914/20160622083049387866914_.html"
定向物院等,yl*** (陕西),2016-06-25 11:04,请问陕西计划中提前批C段招生定向物院、定向兵器工业、定向中核是什么意思？谢谢！,"
                                就是三个具体的招生专业，这几个专业将来毕业后要去定向单位就业，填报和专业的具体咨询可请联系清华大学招生咨询组老师http://join-tsinghua.edu.cn/publish/bzw/7527/2016/20160622083049387866914/20160622083049387866914_.html"
贵校今年贫困专项在海南有招收计划（文史类）吗？,hn*** (海南),2016-06-25 10:41,贵校今年贫困专项在海南有招收计划（文史类）吗？,"
                                请看本省考试院发给各位考生的高考填报志愿指南大本~"
咨询,46*** (黑龙江),2016-06-24 15:11,老师您好：我是黑龙江考生，报提前批下面的注意事项是说只要过黑龙江省一本线的分数就可以抱么,"
                                填报和专业的具体咨询可请联系清华大学招生咨询组老师http://join-tsinghua.edu.cn/publish/bzw/7527/2016/20160622083049387866914/20160622083049387866914_.html"
自强计划 陕西,co*** (陕西),2016-06-23 16:42,老师，您好， 1.请问清华大学今年在陕西自强计划招生是有确定的人数吗？有的话是多少人呢？ 2.在自强计划认定通知里面提到，当考生的高考实际成绩和政策性加分大于等于贵校同科类本一批次线时，考生应在本一批次填报贵校，否则应该在自主招生批次填报贵校。请问：贵校今年同科类本一批次线我如何在填报志愿时就知道呢？不是最终录取结束之后才能知道贵校在陕西批次分数线吗？,"
                                填报和专业的具体咨询可请联系清华大学招生咨询组老师http://join-tsinghua.edu.cn/publish/bzw/7527/2016/20160622083049387866914/20160622083049387866914_.html"
志愿,ha*** (安徽),2016-06-23 16:05,安徽考生全省82名的话填提前批次有希望么？,"
                                请问文科还是理科，填报和专业的具体咨询可请联系清华大学招生咨询组老师http://join-tsinghua.edu.cn/publish/bzw/7527/2016/20160622083049387866914/20160622083049387866914_.html"
志愿,in***e (陕西),2016-06-23 15:35,在平行志愿中，若我在一A志愿符合要求，则会进行投档，那么后面的BCD志愿是否还进行,"
                                请结合自己的成绩和志愿意向等，具体咨询可请联系清华大学招生咨询组老师http://join-tsinghua.edu.cn/publish/bzw/7527/2016/20160622083049387866914/20160622083049387866914_.html"
