标题,来源,时间,问题,回答
关于高考英语口试,yu***6 (河北),2014-06-12 09:21,请问临床医学英语班是否要求考生进行高考英语口试？,"
                                口试成绩合格"
医学问题,su*** (辽宁),2014-06-11 14:15,老师您好！请问上海交通大学医学院今年是单独招生吗？如已够投档线，志愿也填专业服从，是否在医学专业范围内调剂，还能退档吗？如退档存在哪些情况。,"
                                医学院单列代码招生，服从专业调剂不退档，并在医学院专业内调剂。"
辽宁理科体育加分,dl*** (辽宁),2014-06-11 09:15,请问，辽宁二级运动员加10分投档，贵校认可吗？专业录取时是否算加分？服从调剂是否退档？,"
                                除临床八年制（法语班）外，专业承认政策性加分。平行志愿服从调剂不退档。"
贵校对英语口语有何要求,be***092 (山东),2014-06-10 16:41,老师您好：贵校在录取新生时对英语口语成绩有何要求？谢谢,"
                                无要求"
关于政策性加分,dl*** (辽宁),2014-06-10 14:36,请问提档分是否加上政策性加分（二级运动员加10分投档），专业录取时是否再减去政策性加分？,"
                                除临床医学八年制（法语班）班外，其他专业都承认国家政策性加分。"
临床医学,jo***ohn333 (广东),2014-05-10 16:47,请问临床医学八年后有整形外科专业读研吗？谢谢,"
                                临床医学八年毕业已经是博士生了。"
提前批不是平行志愿,11*** (上海),2014-05-10 16:31,提前批不是平行志愿什么意思？如果提前批填两个复旦交大，如果复旦分数不到，交大分数到了能进交大？,"
                                请咨询交大本部。"
请问今年在河南临床医学专业有招生？大概全省排名多少可以录取？,wy*** (河南),2014-05-10 16:02,请问今年在河南临床医学专业有招生？大概全省排名多少可以录取？,"
                                河南省临床医学专业14年计划招生10人，去年最低录取分628分。"
有致远预录资格还能报提前批吗？,be***u11 (北京),2014-05-10 14:30,您好!被贵校临床八年预录，如果报其他学校的提前批未被录取，贵校的优惠政策还有效吗？,"
                                预录同学请咨询交大本部。"
临床医学,jo***ohn333 (广东),2014-05-10 13:38,请问临床医学有整形外科专业方向吗？,"
                                本科阶段没有具体专业方向"
社会考生,jo***ohn333 (广东),2014-05-10 13:26,请问社会考生可以报考贵校临床医学吗？有年龄限制吗？录取方面不能一视同仁？谢谢？,"
                                可以"
临床医学,jo***ohn333 (广东),2014-05-10 13:23,请问贵校上一年在广东的临床医学招生情况？整形外科专业是要等到临床医学后才能报读？，谢谢,"
                                广东省去年最低录取分数666分，临床医学本科阶段不涉及具体专业方向。"
2014上海招生简章,fh*** (上海),2014-05-10 12:30,您好，请问贵校2014年的招生简章是否公布 今年的录取规则与2013年是否相同？,"
                                目前学院本科生招生网上有招生细则"
咨询,hs*** (山西),2014-05-09 15:41,请问贵校往年在山西录取位次（分数区间）？今年在山西招生计划？是否扩大招？若服从专业调剂是否不退档？专业调剂是在同类型范围内调还是全专业大调剂？调剂前是否与考生联系？是否按分数优先原则？贵校设的几个校区，大一学生是否在本校部？学医学专业对视力有严格要求吗？若一志愿没被录取，是否二志愿能被录取？,"
                            您好，录取位次请参考去年。今年在山西招生计划8人，还有待教育部最终审核。若服从专业调剂，身体不受限，见档即录。专业调剂是在本省有的招生专业调剂。如时间允许，调剂前或许会与考生联系。按级差分录取。贵校设的几个校区，大一学生是否在交大闵行校部。不收二志愿。
医学院关于对考生身体条件要求的说明
医学院各专业体检标准参照教育部、卫生部颁布的《普通高校招生体检工作指导意见》的有关规定，并作如下补充：考生患有《普通高等学校招生体检工作指导意见》（简称指导意见）第一条中列出的六大类疾病，学校不予录取。考生患有《指导意见》第二条列出的色盲、色弱者，学校不予录取。考生患有《指导意见》第三条列出的任何一眼视力矫正到４．８镜片度数大于８００度者（或一眼失明）；两耳听力均在３米以内者（或一耳全聋）；斜视、嗅觉迟钝、口吃者，不予录取。"
转专业,be***u11 (北京),2014-05-09 14:58,请问医学院和上交本部大一、大二时能互相转专业吗？,"
                            医学院转专业政策
医学院普通高考录取的学生转专业仅允许按照高考专业录取分数线由高向低转。（各省市均参考每年上海市各专业录取分数线；高考裸分录取专业录取分数视为高于非裸分录取专业）。此转专业政策适用于学校统一进行的大一第二学期的自主转专业，其余个别转专业情况参照相应年级的学生手册规定。具体转专业政策详见医学院教务处网站。"
招生咨询,cy*** (山东),2014-05-09 10:24,您好，我是山东的考生，请问贵校物理与天文系今年在山东除了自招，还有招生计划吗？,"
                                我院没有物理和天文系。"
复读生,ji*** (辽宁),2014-05-09 09:55,老师好，请问往届复读生报考临床专业有限制吗，是否与应届生一视同仁，是否可以报考临床八年制？谢谢,"
                                可以报考"
专业调剂,wy***6 (河北),2014-05-08 13:21,老师您好，我是河北理科考生，想上临床医学专业，如果服从调剂到别的专业，入学后还能申请转专业吗？谢谢。,"
                                医学院普通高考录取的学生转专业仅允许按照高考专业录取分数线由高向低转。（各省市均参考每年上海市各专业录取分数线；高考裸分录取专业录取分数视为高于非裸分录取专业）。具体转专业政策详见医学院教务处网站。"
专业问题，,zz*** (北京),2014-05-08 12:00,左手考生俗称的左撇子学生，能报考口腔医学专业么，如能学习，以后就业是不是有影响，谢谢。,"
                            医学院各专业体检标准参照教育部、卫生部颁布的《普通高校招生体检工作指导意见》的有关规定，并作如下补充：考生患有《普通高等学校招生体检工作指导意见》（简称指导意见）第一条中列出的六大类疾病，学校不予录取。考生患有《指导意见》第二条列出的色盲、色弱者，学校不予录取。考生患有《指导意见》第三条列出的任何一眼视力矫正到４．８镜片度数大于８００度者（或一眼失明）；两耳听力均在３米以内者（或一耳全聋）；斜视、嗅觉迟钝、口吃者，不予录取。"
咨询,a3*** (山东),2013-06-28 09:10,老师你好！我是山东理科考生，高考成绩648，列全省3318名。 理想专业临床医学。 希望把贵校作为“冲一冲”的学校（A院校志愿），不知有多大希望被贵校提档？,"
                                平行志愿，可以一试。"
上海交通大学医学院与上海交通大学的关系？,li***y (山东),2013-06-28 09:03,老师您好，请问贵校与上海交通大学是什么关系，两校在培养学生方面是否有联系？在贵校主页的学院简介里介绍是“211”和“985”，但为什么在网上查“211”和“985”名单都没有上海交通大学医学院？非常感谢老师的及时答复。,"
                                05年两校合并，是教育部和上海市共建院校。"
咨询,ha*** (山东),2013-06-27 12:45,您好，我是山东理科考生。我想问一下如果我被贵校提档，且服从调剂，是否还会被退档,"
                                如果身体不受限制，服从调剂，提档不退。"
咨询,iv*** (山东),2013-06-27 11:18,您好，我是山东理科生，高考成绩624，报考贵校的口腔医学有把握吗？谢谢,"
                                可以一试。"
专业录取,wu*** (四川),2013-06-27 10:36,贵校专业录取时认可加分吗？,"
                                除法语班和护理学专业以外，认可加分，一加到底。"
录取,tc*** (山东),2013-06-27 10:36,老师您好我是山东理科考生，高考成绩为650.省排名为2863，专业服从调剂，报考贵校能被录取吗？,"
                                可以一试。"
咨询,47***lee (河北),2013-06-26 16:49,您好，我是河北考生，高考成绩超一本线95分，有无可能上贵校？,"
                                可以一试。"
江苏理科,qq*** (江苏),2013-06-26 16:07,请问报考贵校必须要双A么？一A一B+可以么？我的高考分数为389，全省排名747，如果可以上是否有什么特殊协定一类的合约？,"
                                 感谢您对我校的认可，一般我校不签。"
想学医,py*** (河南),2013-06-26 15:56,您好，我是河南考生，今年考了584分，有没有机会上贵校啊，没有查到河南去年的录取情况。,"
                                医学院本科招生网上有，欢迎报考。"
