标题,来源,时间,问题,回答
志愿填报,zz*** (福建),2015-07-02 17:05,1、福建省理科排名447， 电子信息类，计算机科学与技术，软件工程哪个放在第一比较稳妥 2、如果被调剂一般会分到什么专业？会分到医学吗？,"
                            您好，我这里可以给您提供我校在福建省招生组老师的电话，详细情况请您直接咨询。谢谢 福州宁德地区：王老师13815882386 ；张老师：13337803312 三明南平地区：张老师13951603739 厦门漳州地区：朱老师13951746446 ；董老师13913952818 龙岩地区：饶老师13814532611 泉州莆田地区：彭老师13851506155 郑老师18012307989"
志愿填报,zz*** (福建),2015-07-02 17:05,1、福建省理科排名447， 电子信息类，计算机科学与技术，软件工程哪个放在第一比较稳妥 2、如果被调剂一般会分到什么专业？会分到医学吗？,"
                                    您好，您的问题已经回答。"
关于新疆理科民考汉问题,sh***ing1967 (新疆),2015-06-29 19:51,请问新疆理科民考汉分数线是386分，成绩560分可以报南京大学吗？急,"
                                    您好，我这里可以给您提供我校在新疆招生组老师的电话，请您直接咨询。 张老师：151 9910 5532； 万老师：139 5182 2071"
黑龙江招生负责人电话,su*** (黑龙江),2015-06-29 18:22,如题,"
                                    您好，如下。 哈尔滨：周老师（15146623916）、王老师（13224615692） 大庆：史老师（13234512650）、施老师（13234506375） 佳木斯：刘老师（13224608251）、相老师（13234510296） 牡丹江：史老师（13234512650）、郭老师（13234510952）"
级查和提档比例,su***g (河南),2015-06-29 15:51,老师您好，我是河南考生，我想问的是： 1.贵校在河南招生时是否会设专业级差？如果有，具体如何设置？ 2.贵校在河南的投档比例如何？ 3.今年理科高考成绩为662，省排名为440左右，报你们学校最好的几个专业录取概率有多大？,"
                            您好，我校在河南招生设立级差，级差为11000.投档比例一般为105，关于专业录取情况，我这里可以给您提供我校在河南招生组老师的电话，详细情况请您直接咨询，谢谢。
【郑州、开封、新乡及全省其他地区】：
柏老师? 15936237736???????刘老师? 18039552950?????傅老师? 18951679095
?
【洛阳、南阳地区】：????????????????
????????王老师? 18039552937
?
【安阳、鹤壁、濮阳地区】：????
????????张老师? 18039552963
?
【商丘、周口地区】：????????????????
????????史老师? 15036135122
?
【信阳、驻马店地区】：????????????
????????王老师? 13839737020"
咨询,13***48 (河南),2018-06-28 16:17,河南理科647报考贵校有可能被录取吗？,"
                                您好，具体请咨询南京大学河南省招生组。
https://bkzs.nju.edu.cn/35/ca/c4554a275914/page.htm"
平行志愿投档后，还不会被退档,15***22 (福建),2018-06-28 14:48,如果平行志愿已经被贵校投档了，专业有愿意被调剂，请问这样还不会被退档？,"
                                您好，我校专业服从，进档不退。"
报考,18***55 (河南),2018-06-28 14:35,您好，河南理科650报临床医学提前批能被录取吗？,"
                                您好，具体请咨询南京大学河南省招生组。
https://bkzs.nju.edu.cn/35/ca/c4554a275914/page.htm"
志愿填报,18***50 (山东),2018-06-28 12:06,山东理科考生 671分 758名 可以填报贵校吗,"
                                您好，欢迎填报南京大学！具体请咨询南京大学山东省招生组。https://bkzs.nju.edu.cn/35/d6/c4554a275926/page.htm"
河南理科提前批,13***08 (河南),2018-06-28 11:29,老师您好，河南理科，报考提前批选择同意调剂，会被调剂到什么专业，入学后可否调专业,"
                                您好，只会在您填写的提前批专业里进行调剂，入学后可转专业。"
湖南文科录取咨询,18***61 (湖南),2018-06-28 11:07,请问湖南文科考生考分656，排名338，文综单科优秀，录取有希望吗？请问南大是否认可湖南的单科优秀呢？,"
                                您好，不建议报考。"
提前批,15***50 (山东),2018-06-28 10:38,请问提前批理科试验班的专业可以调剂吗？如果可以是什么时候？,"
                            您好，可以转专业。南大是高水平大学中少有的，允许除教育部规定的艺术类、外语类保送生、民族班之外，其他招生类型均可以转专业的高校。而且考生进校军训期间，就可以参加拔尖班、基地班、实验班、国际班360多个计划的二次选拔。
南大为每个学生提供了两次转专业的机会，第一次是大一下学期，第二次是大二下学期。同时为每一个专业都明确了1-3门专业最低准入课程和相关要求。当学生课程开课学期选满某一专业的转入课程，并达到相关要求就可以申请转入这一专业了。同时还为每个专业明确了40个学分左右的最低专业准出标准，学生在修读所在专业核心课程的同时，通过大三、大四的课程设计，兼修第二专业准出课程并完成相应学分，就可以在毕业时拿到主修专业和第二专业两个证书。"
山东理科,13***75 (山东),2018-06-28 10:33,山东理科，626分，全省8717名，请问考上南京大学的几率大么？,"
                                您好，不建议报考。"
往届生报考咨询,13***09 (云南),2018-06-27 15:34,老师您好！ 1 贵校在投档和录取过程中是否对应往届生一视同仁。2如果某一考生在应届年份高考中被某一院校录取，但没有去报道而选择复读。那么在次年高考志愿填报中贵校是否会以此为考生个人道德素质评价依据，对该考生进行拒录或退档。3如若考生被投档到贵校，在高考体检结果符合招生章程所限定要求且服从调剂时，是否承诺不退档。,"
                                您好，我校对应届、往届生一视同仁，不存在您说的评判考生道德素质评价。
我校专业服从，进档不退。"
关于拔尖计划,13***20 (贵州),2018-06-27 15:25,老师您好！请问贵校的拔尖计划是怎样的选拔形式呢？,"
                            您好，南大“拔尖计划”面向入学的全校大一新生选拔，
考核分为初试、复试两部分，复试包含笔试、面试两部分，按当年招生计划择优录取。2018年7个“拔尖计划班”通过入学二次选拔，总计划不少于240。
具体可下载南京大学2018年本科招生报考指南（第9、10页）。http://bkzs.nju.edu.cn/35/3a/c12138a275770/page.htm"
咨询,13***20 (贵州),2018-06-27 15:23,老师您好，请问贵州考生661分省排名373名能否报考贵校？,"
                                您好，非常建议您报考南大。具体请联系南京大学贵州省招生组。
https://bkzs.nju.edu.cn/35/c7/c4554a275911/page.htm"
了解一下有关转专业的事情,17***26 (广东),2018-06-27 14:42,广东考生，如果报考提前批，进去以后转专业的难度大吗？需要什么条件？,"
                            
您好，提前批可以转专业。南大是高水平大学中少有的，允许除教育部规定的艺术类、外语类保送生、民族班之外，其他招生类型均可以转专业的高校。而且考生进校军训期间，就可以参加拔尖班、基地班、实验班、国际班360多个计划的二次选拔。
除此之外，每位学生都有两次转专业的机会，难度小。我校“三三制”将大学四年学习划分为大类培养、专业培养、多元培养三个阶段，以及专业学术类、交叉复合类、就业创业类三条发展路途。其本质是通过开放100%的课程实现100%的专业可选，其核心是建立了“最低专业准入和准出标准”。南大为每个学生提供了两次转专业的机会，第一次是大一下学期，第二次是大二下学期。同时为每一个专业都明确了1-3门专业最低准入课程和相关要求。当学生课程开课学期选满某一专业的转入课程，并达到相关要求就可以申请转入这一专业了。同时还为每个专业明确了40个学分左右的最低专业准出标准，学生在修读所在专业核心课程的同时，通过大三、大四的课程设计，兼修第二专业准出课程并完成相应学分，就可以在毕业时拿到主修专业和第二专业两个证书。"
提前批,13***37 (山西),2018-06-27 12:49,南京大学提前批只看文化分吗,"
                                您好，提前批正常看高考分数。"
咨询,so***1@163.com (重庆),2018-06-27 12:31,老师： 贵校招生分应往届吗？ 对同一学校同一专业的考生，往届是否要多加分才能被录取呢？ 2019年会限制往届生报考和录取吗？ 谢谢！,"
                                您好，招生不分应届往届。"
江苏省高考考生询问南京大学提前批次录取的要求？,13***02 (江苏),2018-06-27 10:25,提前批次有以下要求：以下各专业招生只招收该校测试合格的学生 请问这里测试合格具体指什么？是指自主招生和综合评价？还是要进校后在举行测试？谢谢老师回复！,"
                                您好，江苏省提前批指的就是综合评价，进校后不再举行测试。"
西藏招生,18***72 (西藏),2018-06-27 10:22,请问一下西藏招生组老师的联系方式谢谢！,"
                                您好，请拨打400-1859680。"
