标题,来源,时间,问题,回答
农村单独招生,t1*** (甘肃),2015-06-10 13:44,您好，老师，请问农村单独招生笔试的科目都有哪些？,您好，农村单招笔试分文科和理科，文科考生将进行“文科综合”测试，理科考生进行“理科综合”测试。
总招生数,ji*** (江苏),2015-06-10 13:00,请问贵校2015的总招生数是多少？如果没定的话，那2014年的和往年的是多少呢？,总招生数与去年不会相差太多，如果您打算报的话，请根据您所在的省的情况，咨询我们到各省市的招生组，他们会给您建议的。前往各个省的招生组的信息我们会在网上公布，请与他们联系。
甘肃考生少数民族预科班,61*** (甘肃),2015-06-10 11:35,老师你好甘肃少数民族考生570可以报预科班吗？,您好，关于您的这个问题您可以咨询我们在甘肃省的招生组，招生组的信息会在我们的本科生招生网上公告，请您关注一下，他们会给您很好的建议的。
报名资格,zt*** (江苏),2015-03-04 11:17,请问：1、报名资格中第(3)条：具有其他特别突出的创新潜质的考生(需提供证明材料)，具体可以是哪些材料？物理、数学学科成绩单可以吗？2、获得全国中学生奥林匹克竞赛(数学、物理、化学、信息学)江苏省物理二等奖、生物三等奖可以报名吗？谢谢！,1、是指相关证书、证明的复印件。2、可以尝试报考，对于按照报名要求提交有效报名资料的考生，我校将组织专家进行初审。
能录取吗,15***2 (山东),2013-05-09 09:51,老师好我是山东理科女生，请问要高出一本线多少分才有希望被贵校录取，我可以考到630分，报考贵校有希望吗？谢谢,您可以参考往年的录取分数线，在zsb.sjtu.edu.cn左边栏中查看。今年的具体分数线请于报考时咨询我校招生老师，他们的联系方式届时会在招生网上公布。
提前批,zz***63.com (福建),2018-06-28 16:28,针对福建的提前批的工科试验班包括哪些,我校工科试验班类包括如下分流专业：，海洋工程类，机械类，电子信息类，材料科学与工程，生物医学工程，航空航天工程，电子信息类（交大密西根学院），机械类（交大密西根学院），材料类（交大密西根学院），电子信息类（交大-巴黎高科卓越工程师学院），机械类（交大-巴黎高科卓越工程师学院）。，工科试验班类在全国都一样，不针对福建省有任何特殊政策。
广西理科考生 超一本线84分 国家专项,17***21 (广西),2018-06-28 15:27,如果国家专项志愿填写贵校有机会进信息安全专业吗？,具体可咨询我校广西招生组。，http://zsb.sjtu.edu.cn/web/jdzsb/3810134-3810000002077.htm
提前批,15***67 (山东),2018-06-28 15:10,请问贵校的提前批，工科实验班15.16.17年在山东省录取分数线是多少,工科试验班17年山东提前批的分数线为669分。
提前批,15***67 (山东),2018-06-28 15:07,我是山东省理科考生，今年考了656分，省排名2193.能报贵校的提前批吗,具体可咨询山东招生组。，http://zsb.sjtu.edu.cn/web/jdzsb/3810134-3810000002089.htm
思源计划,15***84 (山东),2018-06-28 14:54,想请问今年贵校在山东的高校专项计划招收哪些专业,汉语言文学。海洋工程类。机械类。电子信息类。材料科学与工程。理科试验班类（含致远）。化学类。生物医学工程。经济管理试验班。，具体以考试院发布为准。
提前批,15***84 (山东),2018-06-28 14:47,请问上海交大提前批工科试验班2017年在山东省的录取分数和位次是多少？谢谢您,2017年山东提前批工科试验班分数线为669分。
录取,13***73 (北京),2018-06-28 13:47,北京提前批多少分录取,2017年北京提前批录取分数线为648分。
北京理科生,18***37 (北京),2018-06-28 13:11,老师：您好。请问没参加英语口语考试的北京理科生，可否报贵校提前批的两个小语种专业？谢谢！,具体可咨询北京招生组。，http://zsb.sjtu.edu.cn/web/jdzsb/3810134-3810000002049.htm
高效专项计划,18***91 (广西),2018-06-28 12:59,你好，我是一名广西考生，成绩高一本线92分，有希望被上交录取吗？如果被医学部录取了，以后可以转专业带校本部吗？谢谢,?具体请咨询广西招生组。，http://zsb.sjtu.edu.cn/web/jdzsb/3810134-3810000002077.htm
提前批,18***55 (辽宁),2018-06-28 12:26,请问上海交大提前批工科试验班2017年在辽宁省的录取分数和位次是多少？谢谢您,664分。
转专业,13***25 (河南),2018-06-28 11:24,提前批可以转专业吗？有什么限制？,提前批基本上不可以转专业。
国家专项计划,15***32 (湖北),2018-06-28 11:20,请问老师，国家专项计划会影响普通类招生吗？,不影响。
专业限制,18***18 (福建),2018-06-28 11:04,"1.条件：一只眼睛裸眼视力4.6，矫正度数小于400（150），不宜报考04,05.求助：贵校哪些大类或者专业不能读？2.哪些专业或大类要求绘画基础，即有门槛或需加试等",请参照《普通高等学校招生体检工作指导意见》以及我校《2018年本科招生章程》和《医学院招生实施细则》。
报考咨询,13***75 (山东),2018-06-28 10:55,老师您好，山东理科考生，626分，全省位次8717，有多大希望能被上海交通大学录取？谢谢老师！,具体可咨询我校山东招生组。，http://zsb.sjtu.edu.cn/web/jdzsb/3810134-3810000002089.htm
高校专项计划,15***41 (河南),2018-06-28 10:38,"求2016,2017年高校专项计划录取分数线及2018年预计分数线",2017年河南思源计划理科628，文科597。，2018年招生情况可咨询河南招生组。，http://zsb.sjtu.edu.cn/web/jdzsb/3810134-3810000002081.htm
高校专项计划,15***41 (河南),2018-06-28 10:09,河南考生642，已通过高校专项资格认定，被录取的希望大吗？,具体可咨询我校河南招生组。，http://zsb.sjtu.edu.cn/web/jdzsb/3810134-3810000002081.htm
高校专项,15***38 (云南),2018-06-28 09:53,您好，我是今年祥云一中的一名考生并且已通过贵校的高校专项计划，请问该计划是如何录取的？,??请通过审核的考生参加高考，并在高考志愿中高校专项计划的相应批次一志愿报考我校校本部或医学院。我校将依据招生计划数及高考成绩对考生进行排序录取。，????具体可查询上海交通大学2018年“思源计划”招生简章。，????http://zsb.sjtu.edu.cn/web/jdzsb/3810113-3810000001911.htm?Page=1
录取,18***55 (河南),2018-06-27 16:25,"老师您好,请问贵校2016年在河南国家专项和高校专项的录取最低分数是多少",没有统计。
咨询,13***37 (山西),2018-06-27 16:21,提前批学生与本科一批学生入校后是否不同,没有不同。
提前批,13***37 (山西),2018-06-27 16:19,上海交通大学去年提前批录取分是多少,630分。
