标题,来源,时间,问题,回答
理学类专业就业前景好吗。,li*** (天津),2015-06-10 11:24,老师好，我想报考中科大，但是我有个误区：理学类专业，比如物理学数学信息与计算科学，等这些基础学科类的本科就业前景好吗，去什么单位，是不是考研后比较好。工学类专业等级比较高的有什么，我感兴趣的是计算机、自动化、电气工程、电子信息类，老师给个建议吧。谢谢老师,如果想读完本科以后就直接工作，一般而言理学类专业不是最好的选择。在科大的理学类专业就读，最大的好处是本科期间能够打下很好的数学物理基础，即使未来不再从事基础研究而转到应用领域，会有很大的帮助。
报考科大信息大全（非常重要！必看）,lo*** (上海),2005-06-13 20:56,科大招生网：zsb.ustc.edu.cn科大招生论坛：zsb.ustc.edu.cn/bbs，毕业生去向统计，zsb.ustc.edu.cn/bbs/showthread.php?s=&threadid=69，科大的专业转换：全国最宽松方便，zsb.ustc.edu.cn/bbs/showthread.php?s=&threadid=71，看科大人才培养的数一数二！，zsb.ustc.edu.cn/bbs/showthread.php?s=&threadid=156，科大的特色：精品大学、精英教育！，zsb.ustc.edu.cn/bbs/showthread.php?s=&threadid=67，了解科大所在的城市zsb.ustc.edu.cn/bbs/showthread.php?s=&threadid=76，清贫学子求学科大，真不用愁！，zsb.ustc.edu.cn/bbs/showthread.php?s=&threadid=75，科大的学术水平、地位和国际影响力zsb.ustc.edu.cn/bbs/showthread.php?s=&threadid=70，作为唯一直属于中科院的大学，科大的优势？zsb.ustc.edu.cn/bbs/showthread.php?s=&threadid=68，传奇背后的真实---中国科大的精气神zsb.ustc.edu.cn/bbs/showthread.php?s=&threadid=78，招生老师联系方式及常见报考问题答疑http://zsb.ustc.edu.cn/bbs/showthread.php?s=&threadid=66，科大负责各省招生工作的老师的联系方式。，zsb.ustc.edu.cn/contact.php，科大的在线咨询安排，zsb.ustc.edu.cn/bkzn.php?pid=11，科大将参加的现场咨询活动，zsb.ustc.edu.cn/page/05zx.php,谢谢这位网友
农村学生单独招生专业填报顺序,zh***uan (山东),2015-06-26 16:21,你好：我是山东考生，当时填报贵校农村学生单招时填报的专业顺序在7.5号填报时，能不能变动顺序？比如：当时填报的专业顺序为：1物理类2数学类。。。。。在7月5号的志愿填报能不能这样填报1数学类2电子信息类。。。。？谢谢,你好！请直接与我校负责山东招生的老师联系咨询：http://zsb.ustc.edu.cn/bkzn/lxwm/201005/t20100518_17076.html
黑龙江录取,ww*** (黑龙江),2015-06-26 15:44,我高考662，全省357-377，有希望上贵校吗,你好！请与我校负责黑龙江招生的老师取得联系：http://zsb.ustc.edu.cn/bkzn/lxwm/201005/t20100518_17083.html
少年班报考咨询,wz*** (山东),2015-06-26 15:23,老师您好！孩子正读高二，已申请报考贵校的少年班，已考572分，有资格参加面试吗？,你好！我校少年班招生可咨询：0551-63602798；63606234
河南理科,zh***i2015 (河南),2015-06-26 13:51,老师您好，我是河南考生，成绩566，是否有望报考贵校？,你好！请直接咨询我校河南招生组老师：http://zsb.ustc.edu.cn/bkzn/lxwm/201005/t20100518_17075.html
报考贵校,13***66 (江苏),2015-06-26 11:25,老师您好！我是江苏理科考生，384分，省排名2129名，想报贵校物理系可以吗?,你好！我校江苏招生组老师的联系方式如下：http://zsb.ustc.edu.cn/bkzn/lxwm/201005/t20100518_17081.html，请与他们取得联系！
安徽考生想报考贵校提前批，需要什么条件？,rj*** (安徽),2015-06-26 11:19,排名多少能上？,你好，请直接咨询我校安徽招生组老师：http://zsb.ustc.edu.cn/bkzn/lxwm/201005/t20100518_17079.html
可否够贵校,13***66 (江苏),2015-06-26 11:18,老师，您好！请问江苏理科考生2129名，可以报贵校吗？能学物理专业吗?我是徐州睢宁考生,你好！请直接咨询我校江苏招生组老师：http://zsb.ustc.edu.cn/bkzn/lxwm/201005/t20100518_17081.html
提前批咨询,xz***z (安徽),2015-06-26 09:28,请问报考贵校提前批（其他类）中的非定向专业，如果发现专业不满意，可以转专业吗？,你好！请直接咨询我校安徽招生组老师：http://zsb.ustc.edu.cn/bkzn/lxwm/201005/t20100518_17079.html
