标题,来源,时间,问题,回答
元培计划难道是个失败的计划吗？,wo*** (北京),2006-05-13 11:31,去年看了一片据说是元培学生写的《元培计划是一个失败的计划》。我今年立志报考北京大学元培计划班，请老师讲讲这个班到底怎么样？谢谢,元培计划是我校2001年启动的以蔡元培老校长的名字命名的本科教育和教学改革计划，该计划着眼于当代社会发展对人才质量和人才规格的需求，按照新的办学模式和培养方案，造就适应新时代要求的高等教育的具有国际竞争力的优秀人才。，由于创办的时间有限，在各项规范制度方面确实存在一定的不完善之处，这是任何改革创新必然经历的阶段，任何的批评建议都有利于我校元培计划的进一步健全和完善，根据第一届元培计划毕业生的就业去向，他们多学科、宽基础的知识结构和应用能力受到了学校和社会的广泛好评，这也坚定了我校继续推进教育和教学改革的决心和信心，向世界一流大学的目标前进。，北大“兼容并包”的思想传统欢迎各种不同的意见讨论，在思想的交流和碰撞中，北大一直站在时代的前列，为民族和国家发展输送不同领域的人才，他们也在各行各业为社会进步做出了杰出的贡献，适应时代的要求，这也正是“元培”计划得到众多考生欢迎的重要因素。
关于元培实验班的问题,bi***06 (山西),2006-05-13 09:57,北京大学，请问在元培实验班学习和在其他专业学习有何区别?,"考生你好！，北京大学元培计划实验班简介新的办学理念元培计划是北京大学于2001年启动的以老校长的名字蔡元培命名的本科教育和教学改革计划，并开办实验班。该计划着眼于未来社会发展对人才质量和人才规格的需求，坚持人为本，德为先、业于精的教育理念，实验班按照新的办学模式和培养方案，造就基础好、能力强、素质高的一流本科毕业生，为他们在完成整个高等教育后成为具有国际竞争力的优秀人才奠定坚实的基础。元培计划努力贯彻""加强基础、淡化专业、因材施教、分流培养""的办学方针，充分利用北京大学学科齐全的优势和良好的教学资源，实践本科阶段低年级通识教育和高年级宽口径专业教育相结合的教育理念，突出基础、能力、素质三要素的全面培养，为研究生教育输送高素质、创新型后备生源；为经济建设和社会发展提供适应能力强的毕业生。新的办学模式学分制：元培计划实验班实行学分制。其基础是在元培计划各个专业教学计划框架内由导师指导学生进行自由选课。学生完成公共基础课、通选课及所选专业的教学计划设置的科目，修满规定的学分即可毕业，并获得所学专业的学士学位证书。元培计划实验班的学生低年级通识教育内容主要为：全校公共课（英语、政治、体育、计算机）；通选课???（数学与自然科学、社会科学、哲学与心理学、历史学、语言学文学与艺术共五个领域）；公共基础课（理科：高等数学、物理学、化学和生物学；文科：高等数学、人文和社会科学）。高年级宽口径专业教育内容为学生在有关院系进行专业学习，修学各院系专门为元培计划规定的专业基础课和任意选修课。导师制：元培计划实验班实行导师制。学生在学习期间可以得到由来自文、理科各院系资深教授组成的学生学习指导委员会的全程指导。每位导师对各自的指导对象进行选课、选专业、学习内容及方法等指导。导师由相关院系推荐，北京大学校长聘任。弹性学制：元培计划实验班实行弹性学制。学生可在导师指导下根据自己的情况安排3-6年的学习计划，少则3年即可毕业。若在4年内仍未完成本科阶段的学习任务，则4年后仍可继续修读，直至修满学分毕业。自由选择专业：元培计划实验班原则上可自由选择专业。学生进校时只按文、理分类，不分专业。低年级主要进行通识教育，在他们对北大的学科状况、专业设置、培养目标以及其他情况有了进一步了解后，一般在第四学期前,可根据自己的志趣提出所希望选择的专业。但每个学生修读专业的最后确定决定于相关专业教育资源及学生本人的综合条件。元培计划实验班单独招生、单独全程管理。考生填报志愿时只填写：元培计划实验班（文科）或元培计划实验班（理科）。"
双学位,hu*** (吉林),2006-05-13 09:28,"请问老师:北京大学的双学位有何选择标准?如果我选择法律专业,可以选择哪种第二专业?谢谢!",???目前我校开设有经济学、数学、国际政治、电子商务、艺术学、哲学等多个双学位。只要学生所在院系与学生所要学的第二学位所在院系做好沟通，第二院系所在院系同意接受，就可以就读双学位。有关法学院选择双学位的具体情况，请关注北京大学有关双学位招收的具体通告。一般情况下是可以自由选择。
服从专业分配问题,av*** (湖北),2005-05-17 15:03,北京大学，我是湖北的理科考生，非常想上北大，请问老师，我在填专业服从分配问题上能(不包括哲学专业)这样填吗？,"填写服从调剂时没有括弧的地方,所以只能填写是或否(打勾).，不过,请放心,哲学专业不调剂.对哲学的政策是:只录取有专业志愿的考生,如果录取线上不足,可以在录取线下20分以内寻找有专业志愿的考生,录满为止."
北京大学概况,la*** (北京),2005-04-15 14:13,北京大学，9999,???北京大学校训“博学、审问、甚思、明辨”，人文渊薮、英才辈出，为民族的复兴，国家的强盛起到了不可替代的作用。创办于1898年，初名京师大学堂，是第一所国立综合性大学，也是中国的最高学府。目前北京大学的中科院院士、长江特聘教授、973首席科学家、博士生导师、国家重点学科、重点实验室的数目均居全国高校之首。置身于此，胸怀世界，放眼天下。
北京理科考生咨询,18***37 (北京),2018-06-28 15:41,请问老师，北京理科考生，高考成绩661分，能否报北京大学？,您好！请直接联系我校在北京招生组咨询，他们会给您专业的指导。具体联系方式请登录北京大学招生网（www.gotopku.cn）查询。
报考,13***28 (河南),2018-06-28 13:16,北京大学，您好！请问河南理科考生，634分，走国家专项计划希望大吗？,您好！请直接联系我校在河南招生组咨询，他们会给您专业的指导。具体联系方式请登录北京大学招生网（www.gotopku.cn）查询。
咨询,13***05 (山东),2018-06-28 12:42,北京大学，今年北京大学自主招生投档线是多少？原始分673分，20分的降分。能不能投档。山东的考生。,您好！请直接联系我校在山东招生组咨询，他们会给您专业的指导。具体联系方式请登录北京大学招生网（www.gotopku.cn）查询。
理科生专业服从调剂会分到哪些专业？,15***66 (山东),2018-06-28 12:35,北京大学，理科生专业服从调剂会分到哪些专业？会不会分到语言类（例如：英语）？,您好！如果确需调剂，我校会跟考生联系沟通的，录取期间请保持通信通畅。
录取政策,13***7@qq.com (河南),2018-06-28 11:04,您好，请问北京大学在河南录取原则是分数清还是专业清？,您好！根据我校招生章程：在思想政治品德考核和身体健康状况检查合格、统考成绩达到同批录取控制分数线，符合北京大学提档要求的情况下，北京大学依据考生志愿，从高分到低分的顺序录取，单科成绩原则上应达到及格水平。
小语种提前批录取及专业调剂,17***@qq.com (河南),2018-06-28 10:52,河南文科660报北京大学提前批小语种有希望吗？,您好！请直接联系我校在河南招生组咨询，他们会给您专业的指导。具体联系方式请登录北京大学招生网（www.gotopku.cn）查询。
报考,18***34 (河南),2018-06-27 13:18,北京大学，我是河南文科生，今年高考考了657分，位次149，我通过国家专项可以上北大吗？,您好！请直接联系我校在河南招生组咨询，他们会给您专业的指导。具体联系方式请登录北京大学招生网（www.gotopku.cn）查询。
咨询,15***52 (陕西),2018-06-27 13:02,北京大学，我是陕西考生，我报考了北大的筑梦计划，为什么省招考网站给的专业代码00输进去不对，那应该输什么？,您好！请咨询陕西省高招办。
