标题,来源,时间,问题,回答
录取,13***16 (山西),2018-07-02 16:40,老师好山西文科591排名1174—1223可以报吗,我们在山西文史的参考分数是586左右，你的成绩可以报
安徽理科,dr*** (安徽),2016-06-14 15:05,老师您好：请问英才学院不同省份怎么选拔是否按照省级排名还是入学再考试？,学校通过“英才学院”模式，按照录取考生高考分数，选拔不超过200名优秀新生进入英才学院。按照各省来衡量考生在全省的排名，入学前选拔结束，报到时候直接进入英才学院。
安徽理科,dr*** (安徽),2016-06-14 14:58,贵校本部计划招生4300人其中深圳校区400人是如何被选取就读的,你好，填报志愿时候深圳的专业代码与校本部的代码不同，以此来区分你所报的校区。
黑龙江全省6000可以报分校吗,sa***13 (黑龙江),2016-06-14 10:58,平时成绩全省6500-7500服从调剂可以报分校吗,你好，今年具体的录取排名暂时还不能预测，请你先参考往年的录取分数。
我是安徽今年理科考生，预估600分，报考贵校有希望吗？,lh*** (安徽),2016-06-14 10:23,我是安徽今年理科考生，预估600分，报考贵校有希望吗？,你好，请你参考往年对录取分数线http://zsb.hit.edu.cn/studentnews/user/score.asp?kprovince=%E5%AE%89%E5%BE%BD
报考贵校少数民族预科考生,13***18 (四川),2018-07-02 09:38,老师好！我是2018高考四川苗族理科考生，我i的分数是589分（i省排名是36082位），我报考贵校的少数民族预科班，请问是否有希望录取,根据前两年的情况，是有很大的希望的。但是不能保证。
志愿填报,15***23 (河南),2018-07-02 09:18,如果报了哈工大高校专项，本科一批志愿还需要填写贵校吗？,可填可不填，没有什么影响的。
山东考生,18***08 (山东),2018-07-01 16:41,高考649省3248能上贵校软件工程吗？,同学你好，今年工大在山东预估分数在650左右，排名3199
录取咨询,18***67 (河南),2018-07-01 14:51,河南理科653能上什么专业,同学你好，你有希望报考工大，具体专业还要你自己选择
录取咨询,15***88 (山东),2018-07-01 12:28,山东理科609分，位次15435，报考贵校有希望吗？,同学你好，希望不大，今年工大本部预估650左右可报，威海620左右可报
关于志愿填报的问题,74***@qq.com (广东),2018-06-30 16:31,问下老师广东考生606分省排名7224名想报考校本部机电类的专业有希望录取吗？服从专业调剂有退档风险吗？,去年本部机械类在广东的分数线是587。服从调剂不退档
哈工大深圳校区的一些问题,13***37 (广东),2018-06-29 16:55,我想问一下，贵校的招生宣传中说在深圳校区就读会在毕业证书注明就读校区，那么在深圳校区就读与在本部和威海校区就读毕业证的效力，所受的教育，以及将来考研就业上是否会得到差别对待呢？另外，本人618，全省4800名左右想去贵校的计算机科学或者机电类的专业是否有希望？最后，贵校的转专业政策具体是怎么样的？,你的成绩可以去威海校区，学习机电类还是有希望的，威海毕业证和本部的没区别。我们这里没有深圳校区的参考分数。大一总成绩排名专业前30%可以在大一结束后申请转专业，经过对方学院的面试后就能转专业了。
志愿填报,18***90 (青海),2018-06-29 16:03,麻烦问一下老师今年我492分在青海超过一本线89分能否进入贵校学习谢谢您,同学你好，今年我校在青海的预估分数是540分左右
关于深圳校区,18***53 (海南),2018-06-29 13:14,您好！请问贵校深圳校区是否承诺服从调剂进档不退，是否设有专业级差，对于哪些专业有单科要求？谢谢！,平行志愿投档录取对专业服从调剂不退档；没有专业级差；没有专业有单科要求
录取咨询,18***04 (新疆),2018-06-29 09:24,您好！新疆考生634分，725位次报考贵校有希望吗？,有希望录取，可以冲一冲
深圳校区,13***63 (湖南),2018-06-29 09:03,请问，贵校深圳校区2018年在湖南的预估提档分是多少,深圳校区没有具体的预估提分档，你可以参考本部的，本部对于湖南的预估提分挡是633
黑龙江文史570，排名869--904，是否有希望被录取？,15***23 (黑龙江),2018-06-28 14:05,经济管理实验班机会大吗？,今年我校黑龙江文史类参考分数是567分左右，你的分数有希望被录取。经济管理试验班去年的分数线是573
国家专项计划录取,13***05 (河南),2018-06-28 13:52,老师你好！理科625分，7000名左右，请问有多大把握被国家专项计划录取(校本部）？,去年河南国家专项理工类录取分数线是593，你的希望很大
