标题,来源,时间,问题,回答
工科试验班,wj*** (福建),2017-06-28 16:58,工科试验班（机类）包括哪些专业？,包括材料、能动、机械、航天、化工、人居学院六个学院的十九个专业。详情请查看我校本科招生网的具体分流方向，http://zs.xjtu.edu.cn/yxsd.htm
提前批 医学试验班（非临床类） 录取几率,13***16 (河南),2018-06-27 16:56,河南理科615位次100370提前批报医学试验班（非临床类）有可能录取吗？有没有该专业提前批录取的情况及专业介绍的链接？谢谢,同学，你好。可以参考去年单射批次医学在河南录取的分数线。http://zs.xjtu.edu.cn/lnlqjg.jsp?wbtreeid=1167，具体可以再咨询下我校河南招生组：http://zs.xjtu.edu.cn/info/1003/3835.htm
福建录取,13***71 (福建),2018-06-27 16:43,老师您好，我是福建文科考生，总分579，排名3710，能被贵校录取吗？,你好，可参考去年文科录取分数。http://zs.xjtu.edu.cn/lnlqjg.jsp?wbtreeid=1167并查一下去年文科最低分对应的相应位次。
录取希望,18***66 (青海),2018-06-27 16:39,青海理科、567分，排名527名，报考贵校有希望吗？,同学你好，根据往年录取看，这个分数希望不是很大。
录取,30***73e4a719d92fb52d7c25317 (山东),2018-06-27 16:16,山东理科男生，分数648，位次3494名，服从调剂，请问老师，可以报贵校吗？有退档的风险吗？,同学你好，分数是有希望的，可以冲。
山东理工,18***33 (山东),2018-06-27 15:45,你好，我是山东考生，我高考的分数为659，排名1800，报工科试验班（钱学森班）希望大吗？还是报工科试验班（机类）希望大？,同学你好，工科试验班（机类）希望更大一些。
关于试验班（陕西）,18***88 (陕西),2018-06-26 11:11,"请问：1,贵校一些试验班后面备注的（H）是什么意思？2，陕西651，位次1944报考贵校可以选择好一点的专业吗？",H代表特色类拔尖人才培养试验班。根据数据分析，这个分数报交大没有问题的，建议避开热门和高分专业。
新疆理科639，全省597，,10***5@qq.com (新疆),2018-06-26 10:56,新疆理科639，全省597，报机械，材料专业可以吗,你好，根据数据分析，这个分数和位次，上交大没有问题的。，机械、材料专业今年是涵盖在“工科试验班（机类）”大类招生的，一年级末进行专业分流。，这个分数进入“工科试验班（机类）”应该也没问题。
提前批录取,18***77 (河南),2018-06-25 18:41,贵校的前几年提前批录取情况可以了解一下吗,你好，请到我校“历年分数”栏目查询。
河南文科考生，考了641分，省位次624名,15***3@qq.com (河南),2018-06-25 17:01,报考贵校工商管理专业有希望吗,抱歉，我校工商管理只招收理科生。
少数民族预科班,15***90 (重庆),2018-06-25 13:33,老师重庆理科考生成绩568，超一本线44分，报贵校预科希望大吗,你好，你可以参考下去年预科录取分数，http://zs.xjtu.edu.cn/info/1038/3829.htm
咨询,15***26 (江苏),2018-06-25 13:32,老师，您好！我是江苏理科物化考生，389分，双A+，全省位次2410，填报贵校希望大吗？谢谢,你好，分数不错。根据往年数据分析，没问题的。
少数民族预科班,15***90 (重庆),2018-06-25 13:28,老师，我是重庆考生理科成绩568，报少数民族预科班希望大吗,你好，你可以参考下去年预科录取分数，http://zs.xjtu.edu.cn/info/1038/3829.htm
录取,15***92 (陕西),2018-06-25 12:48,我是陕西考生，分数610，有望考上贵校不？,校本部希望不大，可以考虑医学部，希望很大。
请问人文实验班有推免研究生吗？,25***0@qq.com (安徽),2018-06-25 12:44,请问人文实验班有推免研究生吗？如有，比例大概是多少？,你好，交大每个专业都有推免名额的。全校平均保研比例大约25%。
江西考生高考626分，省排名3747，有希望被贵校录取吗？,18***70 (江西),2018-06-25 12:24,您好，我是江西考生一枚，高考分数626分，省排名3747，被贵校录取的希望是多少呢？谢谢,你好，这个分数希望不大。
提前批录,18***05 (贵州),2018-06-25 11:05,老师您好我是文科学生排名501了解到你们学校有提前批录的政策我想问如果我如果填报提前批被录走会影响后面我的八个平行志愿的填报吗？？谢谢老师！！,如果提前批被录取，本科一批就不能再被录了。，如果提前批没有被录取，不影响本科一批的投档和录取。
陕西考生录取咨询,15***89 (陕西),2018-06-25 11:02,陕西理科女生，分数635，位次3330名左右，服从调剂，请问老师，可以报贵校吗？,校本部有希望，可以冲一下，报医学部完全没问题。
提前批录,18***05 (贵州),2018-06-25 10:58,老师我是贵州文科考生排名501我了解到贵校有提前批录计划请问提前批如果我被提走是不是平行志愿8个我都没希望了？？谢谢老师,如果提前批被录取，本科一批就不能再被录了。，如果提前批没有被录取，不影响本科一批的投档和录取。
陕西,13***69 (陕西),2018-06-25 10:15,陕西理工642分可报考本校哪些专业,目前预估，这个分数报考我校，基本没问题。专业选择余地不大。
录取,15***22 (河南),2018-06-25 10:05,河南，高校专项通过，理科630位次6000A类，第一志愿保险吗？,有Ａ当优惠，没问题的。但注意要在河南省规定高校专项相应批次填报志愿。
甘肃考生,18***72 (甘肃),2018-06-25 09:30,你好！我的分数是623，位次是1349，能否考入你校，专业调剂是在甘肃招生专业之内吗？,有希望的。专业调剂的范围你的理解没错。
河南2018,13***91 (河南),2018-06-25 04:41,今年我的分数是661‘想上贵校，能否录取，谢谢,你好，这个分数不错，目前看，没问题的。
重庆文科考生,17***62 (重庆),2018-06-25 00:08,今年重庆文科593分718名能上吗？可选专业吗？,你好，可参考去年重庆文科录取分数：http://zs.xjtu.edu.cn/bkscx/lnlqcx.htm
重庆文科考生,17***62 (重庆),2018-06-25 00:07,今年重庆的文科考生，593分，全市718名，请问上贵校可以吗？可以选外语专业吗？,你好，可参考去年重庆文科录取分数：http://zs.xjtu.edu.cn/bkscx/lnlqcx.htm
录取,15***81 (山东),2017-06-28 16:25,山东理科645分2861名能否报考贵校可报哪些专业？,希望比较大，但是专业选择要避开热门专业
咨询江西提前批,bi*** (江西),2017-06-28 16:03,咨询江西理科考生571，全省排名7982，报考贵校提前批，是否有希望。想了解护理学是否招男生的,有希望，不限男女
咨询江西提前批,bi*** (江西),2017-06-28 16:02,咨询江西理科考生571，全省排名7982，报考贵校提前批，是否有希望。想了解护理学是否招男生的,同上
河南,ga***wer (河南),2017-06-28 16:00,河南理科607，位次5489，能被贵校录取吗？谢谢！,希望不大
山东理科生,zx*** (山东),2017-06-28 15:14,尊敬的老师，您好！我是山东理科生，664分，省位次860，请问报考贵校钱学森班有希望吗？会不会被被调剂志愿？,希望很大，具体可以联系我校驻山东省招生组济南：时间：2017年6月25日—7月6日（面对面咨询时间：7.1—7.6）地点：济南市历下区泺文路锦江之星泉城广场店电话：17852310816（丰老师）17852711668（张老师）13379510710
黑龙江考生,yz*** (黑龙江),2017-06-28 15:11,黑龙江理科631，有希望录取吗？,请与我校驻黑龙江招生组老师联系问老师：133-1098-5771刘老师：187-1051-1387夏老师：183-9237-51373个手机号码面向黑龙江全省咨询
医学类专业,49*** (福建),2017-06-28 15:01,您好，我是福建考生。请问招生章程中涉及的“调剂到医学类专业”中的医学类专业具体指哪些专业？如果没有填报医学实验班（侯宗濂班）是不是就不会被调剂到医学类专业？,你好，之前为你解答过，如果还不太清楚的，请联系我校驻福建省招生组老师给你一对一详细解答厦门：住址：厦门宾馆咨询电话：0592-2053333转5311联系人：陈老师：13669242304高老师：15829256307福州:住址：闽江饭店1015房间咨询电话0591-87557895转1015陈老师(手机:13363966791)、赵老师(手机:13193398369)泉州:住址：泉州日春茶道酒店8615房间咨询电话0595-82111111转8615陈老师(手机:13227788790)、张老师(手机:13359236947)
